title,rank,date,artist,url,region,chart,trend,streams,year
Te Boté - Remix,1,2018-06-13,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,Mexico,top200,SAME_POSITION,530922.0,2018
Amorfoda,1,2018-03-01,Bad Bunny,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF,Argentina,top200,SAME_POSITION,339036.0,2018
Calma - Remix,1,2018-12-20,"Pedro Capó, Farruko",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,Chile,viral50,SAME_POSITION,,2018
X,1,2018-03-29,"Nicky Jam, J Balvin",https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,Peru,viral50,SAME_POSITION,,2018
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1,2018-02-21,Sofía Reyes,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b,Chile,viral50,SAME_POSITION,,2018
Cuando Te Besé,1,2018-09-28,"Becky G, Paulo Londra",https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,Argentina,top200,SAME_POSITION,268025.0,2018
Mi Cama - Remix,1,2018-08-01,"KAROL G, J Balvin, Nicky Jam",https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE,Peru,viral50,SAME_POSITION,,2018
No Quiero Mas,1,2018-06-19,Luck Ra,https://open.spotify.com/track/7exPouPQ53oa9HOp3evDyB,Argentina,viral50,SAME_POSITION,,2018
X,1,2018-04-25,"Nicky Jam, J Balvin",https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,Mexico,top200,SAME_POSITION,543289.0,2018
Famous,1,2018-05-02,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,Argentina,viral50,SAME_POSITION,,2018
Vai malandra (feat. Tropkillaz & DJ Yuri Martins),1,2018-02-02,"Anitta, Mc Zaac, Maejor",https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7,Brazil,top200,SAME_POSITION,632102.0,2018
No Es Justo,1,2018-07-25,"J Balvin, Zion & Lennox",https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,Colombia,top200,SAME_POSITION,80794.0,2018
Unforgiven,1,2018-03-21,Ghost Nation,https://open.spotify.com/track/7187AJ4dx3wEqADjExHP30,Colombia,viral50,SAME_POSITION,,2018
Te Boté - Remix,1,2018-06-17,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,Peru,top200,SAME_POSITION,93433.0,2018
FAKE LOVE,1,2018-05-21,BTS,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,Mexico,viral50,NEW_ENTRY,,2018
Te Boté - Remix,1,2018-07-18,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,Mexico,top200,SAME_POSITION,458700.0,2018
X,1,2018-04-03,"Nicky Jam, J Balvin",https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,Mexico,top200,SAME_POSITION,652877.0,2018
Famous,1,2018-04-30,Mason Ramsey,https://open.spotify.com/track/2HGymMoOdB4ZYv0AAqYmgF,Argentina,viral50,NEW_ENTRY,,2018
Cuando Nadie Ve,1,2018-07-12,Morat,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ,Mexico,viral50,SAME_POSITION,,2018
Calma - Remix,1,2018-12-08,"Pedro Capó, Farruko",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,Colombia,top200,SAME_POSITION,95412.0,2018
Ciumeira - Ao Vivo,1,2018-09-15,Marília Mendonça,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1,Brazil,top200,SAME_POSITION,653904.0,2018
BEBE,1,2018-10-09,"6ix9ine, Anuel AA",https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C,Chile,viral50,SAME_POSITION,,2018
Ao Vivo E A Cores,1,2018-08-11,"Matheus & Kauan, Anitta",https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo,Brazil,top200,SAME_POSITION,588366.0,2018
Drip Too Hard (Lil Baby & Gunna),1,2018-10-10,Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,United States,top200,SAME_POSITION,1521661.0,2018
Lucky You (feat. Joyner Lucas),1,2018-09-03,Eminem,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,United States,top200,SAME_POSITION,1926850.0,2018
God's Plan,1,2018-02-25,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,3065887.0,2018
Forever Always,1,2018-06-25,"Peter CottonTale, Rex Orange County, Chance the Rapper, Daniel Caesar, Madison Ryann Ward, Yebba",https://open.spotify.com/track/4B2kIC5F0kSVfTD5crzgm9,United States,viral50,NEW_ENTRY,,2018
Nonstop,1,2018-07-04,Drake,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX,United States,top200,SAME_POSITION,2517536.0,2018
"King's Dead (with Kendrick Lamar, Future & James Blake)",1,2018-01-20,Jay Rock,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH,United States,viral50,SAME_POSITION,,2018
WORKIN ME,1,2018-08-17,Quavo,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64,United States,viral50,SAME_POSITION,,2018
God's Plan,1,2018-03-10,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,2854807.0,2018
This Is America,1,2018-05-14,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,United States,top200,SAME_POSITION,2266501.0,2018
ZEZE (feat. Travis Scott & Offset),1,2018-10-17,Kodak Black,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,United States,top200,SAME_POSITION,2236989.0,2018
Yellow,1,2018-08-26,Katherine Ho,https://open.spotify.com/track/2XSzHLq8gOJHFflQr6QCpM,United States,viral50,SAME_POSITION,,2018
Drip Too Hard (Lil Baby & Gunna),1,2018-10-07,Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,United States,top200,SAME_POSITION,1263396.0,2018
This Is America,1,2018-05-10,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,United States,top200,SAME_POSITION,2586594.0,2018
Mine,1,2018-02-10,Bazzi,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,United States,viral50,SAME_POSITION,,2018
Good Mood,1,2018-12-16,Rei,https://open.spotify.com/track/1gYAAvuBoE86oa6dfT4mTw,United States,viral50,SAME_POSITION,,2018
Lucid Dreams,1,2018-06-11,Juice WRLD,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc,United States,top200,SAME_POSITION,1822942.0,2018
Sweet but Psycho,1,2018-10-09,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,United States,viral50,SAME_POSITION,,2018
Nice For What,1,2018-04-10,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,United States,viral50,SAME_POSITION,,2018
This Is America,1,2018-05-12,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,United States,top200,SAME_POSITION,2246370.0,2018
Say Something (feat. Chris Stapleton),1,2018-01-31,Justin Timberlake,https://open.spotify.com/track/09ts3GnICqYEU5PkQCpJK3,United States,viral50,SAME_POSITION,,2018
ZEZE (feat. Travis Scott & Offset),1,2018-10-23,Kodak Black,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,United States,top200,SAME_POSITION,1811661.0,2018
I Love It (& Lil Pump),1,2018-09-14,Kanye West,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,United States,top200,SAME_POSITION,1942212.0,2018
Nice For What,1,2018-04-10,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,United States,top200,SAME_POSITION,3087040.0,2018
In My Feelings,1,2018-07-11,Drake,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns,United States,viral50,SAME_POSITION,,2018
Lucid Dreams,1,2018-05-20,Juice WRLD,https://open.spotify.com/track/32iYwQ4OYiurnGnOfJ1aEh,United States,viral50,MOVE_UP,,2018
